drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dominica,3800.0,3800.0,9000.0,10000.0,10500.0,10400.0,14600.0,14000.0,14300.0,11200.0
Central African Republic,1100.0,1200.0,700.0,700.0,700.0,700.0,800.0,900.0,700.0,600.0
Maldives,3900.0,3900.0,4600.0,4500.0,4500.0,6900.0,8700.0,8900.0,9100.0,13300.0
Kyrgyzstan,2000.0,2100.0,2000.0,2200.0,2200.0,2200.0,2400.0,2400.0,2500.0,3300.0
Netherlands,30300.0,32100.0,39000.0,40500.0,40500.0,40300.0,42300.0,41500.0,43300.0,48000.0
Denmark,34800.0,37100.0,37200.0,37200.0,37000.0,36600.0,37700.0,37300.0,37800.0,44600.0
Egypt,3900.0,4200.0,5000.0,5800.0,6200.0,6200.0,6600.0,6500.0,6600.0,10900.0
Gabon,7000.0,7100.0,14000.0,14200.0,14600.0,14500.0,17300.0,18100.0,19200.0,20800.0
Tanzania,700.0,800.0,1300.0,1400.0,1500.0,1400.0,1700.0,1600.0,1700.0,2700.0
Canada,33900.0,35700.0,38600.0,39200.0,39600.0,39400.0,41500.0,42300.0,43100.0,45000.0
Liechtenstein,25000.0,25000.0,25000.0,118000.0,122100.0,141100.0,89400.0,89400.0,89400.0,89400.0
Oman,13500.0,14400.0,19000.0,20200.0,25800.0,25600.0,28500.0,28800.0,29800.0,43800.0
Vanuatu,2900.0,2900.0,3900.0,4600.0,5500.0,5100.0,4900.0,4800.0,4800.0,2600.0
Finland,31000.0,33500.0,36000.0,37000.0,35300.0,35400.0,36500.0,35800.0,35900.0,40700.0
Tuvalu,1600.0,1600.0,1600.0,1600.0,1600.0,3400.0,3300.0,3400.0,3500.0,3300.0
France,29600.0,31200.0,32600.0,33300.0,33300.0,33100.0,35500.0,35300.0,35700.0,40500.0
Saint Pierre and Miquelon,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,34900.0,34900.0,34900.0
Equatorial Guinea,50200.0,50200.0,28200.0,37300.0,37900.0,36600.0,20200.0,26500.0,25700.0,36800.0
Saint Kitts and Nevis,8200.0,8200.0,13900.0,19100.0,14400.0,13700.0,15500.0,16100.0,16300.0,21500.0
Latvia,13700.0,16000.0,17700.0,17300.0,14500.0,14700.0,18100.0,18100.0,19100.0,23800.0
Pakistan,2400.0,2600.0,2400.0,2500.0,2400.0,2500.0,2900.0,3100.0,3100.0,4700.0
Kosovo,,,1800.0,2300.0,2500.0,6600.0,7400.0,0.0,7600.0,0.0
Portugal,19000.0,19800.0,21800.0,22200.0,23000.0,23000.0,23000.0,23000.0,22900.0,27100.0
Algeria,7200.0,7600.0,6700.0,6900.0,7400.0,7300.0,7500.0,7300.0,7500.0,13900.0
Saudi Arabia,13100.0,13800.0,19800.0,20500.0,24200.0,24200.0,25700.0,30500.0,31300.0,52300.0
Ethiopia,900.0,1000.0,700.0,900.0,1000.0,1000.0,1200.0,1300.0,1300.0,1600.0
Mauritania,2200.0,2600.0,1800.0,2100.0,2100.0,2100.0,2100.0,2100.0,2200.0,4300.0
Lithuania,14100.0,15300.0,16800.0,17800.0,15900.0,16000.0,20100.0,21400.0,22600.0,27300.0
Uruguay,9900.0,10900.0,10800.0,12400.0,13600.0,13700.0,15800.0,15900.0,16600.0,21100.0
Guam,15000.0,15000.0,15000.0,,,,15000.0,28700.0,28700.0,30500.0
South Africa,12200.0,13300.0,9700.0,10100.0,10700.0,10700.0,11300.0,11300.0,11500.0,13100.0
Falkland Islands (Islas Malvinas),25000.0,25000.0,25000.0,35400.0,35400.0,35400.0,55400.0,55400.0,55400.0,55400.0
West Bank,1100.0,1500.0,1100.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,4900.0
Jordan,4700.0,5100.0,4700.0,5200.0,5300.0,5400.0,6000.0,6000.0,6100.0,12000.0
Azerbaijan,5400.0,7500.0,8000.0,9500.0,11000.0,10900.0,10700.0,10400.0,10800.0,17800.0
Niue,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0
Sweden,29800.0,32200.0,37500.0,38200.0,39000.0,39100.0,41700.0,40300.0,40900.0,46200.0
Niger,1000.0,1000.0,700.0,700.0,700.0,700.0,900.0,800.0,800.0,1100.0
Indonesia,3600.0,3900.0,3600.0,3900.0,4300.0,4200.0,5000.0,4900.0,5200.0,10700.0
Bahrain,23100.0,25600.0,33900.0,37400.0,40400.0,40300.0,28200.0,28700.0,29800.0,49000.0
Macau,22000.0,24300.0,28400.0,30000.0,33000.0,33000.0,74900.0,82400.0,88700.0,88700.0
Ireland,41100.0,44500.0,46600.0,45500.0,37600.0,37300.0,41700.0,40700.0,41300.0,51300.0
Namibia,7000.0,7500.0,5200.0,6400.0,6900.0,6900.0,7800.0,7800.0,8200.0,10700.0
East Timor,800.0,,,,,,,,,
French Polynesia,17500.0,17500.0,17500.0,18000.0,18000.0,18000.0,18000.0,22000.0,22000.0,26100.0
Zimbabwe,2100.0,2100.0,200.0,200.0,400.0,500.0,500.0,600.0,600.0,2100.0
Fiji,5900.0,6200.0,3900.0,3800.0,4300.0,4400.0,4800.0,4700.0,4900.0,8400.0
Guadeloupe,7900.0,,,,,,,,,
New Zealand,25300.0,26200.0,27200.0,27900.0,28000.0,27700.0,28800.0,29500.0,30400.0,35300.0
Cameroon,2300.0,2500.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2400.0,3000.0
Venezuela,6400.0,7200.0,12800.0,13500.0,12600.0,12700.0,13200.0,13500.0,13600.0,17800.0
Cook Islands,9100.0,9100.0,9100.0,9100.0,9100.0,9100.0,9100.0,9100.0,9100.0,9100.0
Turkey,8400.0,9100.0,12000.0,11900.0,12300.0,12300.0,15000.0,14800.0,15300.0,19700.0
Kazakhstan,8300.0,9400.0,11000.0,11500.0,12500.0,12700.0,13900.0,13500.0,14100.0,24100.0
Taiwan,27500.0,29600.0,30100.0,31100.0,35100.0,35700.0,38500.0,38400.0,39600.0,46000.0
Italy,28700.0,30200.0,30900.0,31400.0,30700.0,30500.0,30100.0,29800.0,29600.0,35100.0
Costa Rica,11400.0,12500.0,11100.0,11600.0,11400.0,11300.0,12600.0,12500.0,12900.0,14900.0
Bangladesh,2100.0,2300.0,1400.0,1500.0,1700.0,1700.0,2000.0,2000.0,2100.0,3400.0
Cabo Verde,,,,,,,,4400.0,4400.0,6400.0
Curacao,,,,,14970.0,15000.0,15000.0,15000.0,15000.0,15000.0
Palau,7600.0,7600.0,7600.0,8100.0,8100.0,8100.0,8100.0,10500.0,10500.0,14100.0
Tunisia,8200.0,8900.0,7400.0,7900.0,9500.0,9400.0,9700.0,9700.0,9900.0,11300.0
Honduras,2900.0,3100.0,4300.0,4400.0,4200.0,4200.0,4600.0,4700.0,4800.0,4700.0
Togo,1600.0,1700.0,900.0,900.0,900.0,900.0,1100.0,1100.0,1100.0,1500.0
Guernsey,40000.0,44600.0,44600.0,44600.0,44600.0,44600.0,44600.0,44600.0,44600.0,44600.0
Norway,42800.0,46300.0,53300.0,59500.0,59100.0,54600.0,55300.0,54400.0,55400.0,67200.0
Iceland,35700.0,38000.0,40400.0,42300.0,38400.0,38300.0,39400.0,39700.0,40700.0,44000.0
Reunion,6200.0,,,,,,,,,
Anguilla,8800.0,8800.0,8800.0,8800.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0
Dominican Republic,7500.0,8400.0,6600.0,8200.0,8600.0,8900.0,9600.0,9500.0,9700.0,14000.0
Madagascar,900.0,900.0,900.0,1000.0,1000.0,900.0,1000.0,900.0,1000.0,1400.0
United States,41600.0,43800.0,45800.0,47500.0,47400.0,47200.0,49800.0,51700.0,52800.0,54400.0
Kenya,1100.0,1200.0,1700.0,1600.0,1600.0,1600.0,1800.0,1800.0,1800.0,3100.0
Croatia,12400.0,13400.0,15500.0,18400.0,17500.0,17400.0,18100.0,17600.0,17800.0,20900.0
Montserrat,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,8500.0,8500.0,8500.0,8500.0
Tonga,2200.0,2200.0,5100.0,4600.0,6300.0,6100.0,7500.0,8000.0,8200.0,4900.0
El Salvador,4700.0,4900.0,6000.0,6200.0,7300.0,7200.0,7700.0,7300.0,7500.0,8100.0
Timor-Leste,,800.0,2500.0,2300.0,2600.0,2600.0,9500.0,20100.0,21400.0,5500.0
Somalia,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Georgia,3400.0,3900.0,4400.0,4700.0,4800.0,4900.0,5900.0,5800.0,6100.0,9200.0
Benin,1100.0,1100.0,1400.0,1500.0,1600.0,1500.0,1700.0,1600.0,1600.0,1900.0
Guyana,4500.0,4900.0,3700.0,3900.0,6800.0,7200.0,8000.0,8000.0,8500.0,6900.0
Philippines,4700.0,5000.0,3200.0,3300.0,3500.0,3500.0,4300.0,4400.0,4700.0,7000.0
Cambodia,2500.0,2800.0,1900.0,2000.0,2000.0,2100.0,2400.0,2400.0,2600.0,3300.0
British Virgin Islands,38500.0,38500.0,38500.0,38500.0,38500.0,38500.0,38500.0,42300.0,42300.0,42300.0
Cote d'Ivoire,1600.0,1600.0,1700.0,1700.0,1800.0,1800.0,1700.0,1700.0,1800.0,3100.0
Isle of Man,27800.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,53800.0,53800.0,83100.0
Syria,3900.0,4100.0,4700.0,4600.0,4800.0,4800.0,5100.0,5100.0,5100.0,5100.0
Marshall Islands,2900.0,2900.0,2900.0,2500.0,2500.0,2500.0,2500.0,8600.0,8700.0,3300.0
Faroe Islands,22000.0,31000.0,31000.0,31000.0,34000.0,32900.0,30500.0,30500.0,30500.0,30500.0
Uzbekistan,1900.0,2000.0,2400.0,2600.0,3100.0,3100.0,3500.0,3500.0,3800.0,5600.0
Liberia,900.0,900.0,500.0,500.0,500.0,500.0,700.0,700.0,700.0,900.0
Argentina,13700.0,15200.0,13100.0,14200.0,14700.0,14700.0,18200.0,17900.0,18600.0,22300.0
Slovenia,21500.0,23400.0,28000.0,29600.0,28400.0,28200.0,28600.0,27800.0,27400.0,29900.0
Aruba,21800.0,21800.0,21800.0,21800.0,21800.0,21800.0,21800.0,25300.0,25300.0,25300.0
Sudan,2100.0,2400.0,1900.0,2200.0,2200.0,2300.0,2400.0,2500.0,2600.0,4300.0
Switzerland,32200.0,34000.0,40100.0,42000.0,42900.0,42600.0,45300.0,44900.0,54800.0,58100.0
Romania,8100.0,9100.0,11100.0,12200.0,11500.0,11600.0,12800.0,12700.0,14400.0,19700.0
South Sudan,,,,,,,900.0,1100.0,1400.0,2100.0
Malta,19700.0,21300.0,23400.0,24600.0,25100.0,25600.0,26100.0,26900.0,29200.0,33200.0
Sierra Leone,800.0,900.0,600.0,900.0,900.0,900.0,1400.0,1300.0,1400.0,2100.0
Virgin Islands,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,36100.0
"Korea, South",22600.0,24500.0,25000.0,27700.0,30200.0,30000.0,32400.0,31900.0,33200.0,35400.0
Iraq,1800.0,1900.0,3700.0,3200.0,3600.0,3800.0,4600.0,7000.0,7100.0,15300.0
Tajikistan,1200.0,1300.0,1600.0,1800.0,2000.0,2000.0,2200.0,2200.0,2300.0,2700.0
Thailand,8600.0,9200.0,8000.0,8400.0,8700.0,8700.0,10000.0,9500.0,9900.0,15600.0
Zambia,900.0,1000.0,1400.0,1500.0,1500.0,1500.0,1700.0,1700.0,1800.0,4100.0
San Marino,34600.0,34100.0,34100.0,41900.0,41900.0,36200.0,36200.0,0.0,,60900.0
Uganda,1800.0,1900.0,1000.0,1300.0,1200.0,1300.0,1400.0,1400.0,1500.0,1900.0
Greenland,20000.0,20000.0,20000.0,20000.0,35900.0,36500.0,37400.0,37400.0,38400.0,38400.0
Belize,6800.0,8400.0,7900.0,8400.0,8400.0,8400.0,8400.0,8700.0,8800.0,8300.0
Lesotho,2500.0,2700.0,1400.0,1600.0,1700.0,1700.0,2000.0,2100.0,2200.0,2900.0
Martinique,14400.0,,,,,,,,,
Germany,30100.0,31900.0,34100.0,35500.0,35900.0,35700.0,39100.0,38700.0,39500.0,46200.0
Guinea-Bissau,800.0,900.0,600.0,600.0,1100.0,1100.0,1100.0,1200.0,1200.0,1500.0
Comoros,600.0,600.0,1100.0,1000.0,1000.0,1000.0,1300.0,1300.0,1300.0,1500.0
Peru,6000.0,6600.0,7600.0,8500.0,9200.0,9200.0,10700.0,10600.0,11100.0,11900.0
Estonia,17500.0,20300.0,21800.0,21400.0,19000.0,19100.0,21200.0,21700.0,22400.0,27900.0
Libya,11800.0,12300.0,12400.0,14200.0,13800.0,14000.0,13300.0,11900.0,11300.0,15900.0
New Caledonia,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,37700.0,37700.0,38800.0
Rwanda,1500.0,1600.0,800.0,900.0,1100.0,1100.0,1400.0,1400.0,1500.0,1700.0
India,3400.0,3800.0,2600.0,2900.0,3400.0,3500.0,3900.0,3800.0,4000.0,5800.0
Iran,8400.0,8700.0,11700.0,12800.0,11200.0,10600.0,13100.0,13000.0,12800.0,17400.0
Burkina Faso,1200.0,1400.0,1200.0,1200.0,1200.0,1200.0,1400.0,1400.0,1500.0,1700.0
Hungary,16300.0,17500.0,19300.0,19800.0,19000.0,18800.0,19800.0,19500.0,19800.0,25000.0
Spain,25600.0,27400.0,33600.0,34600.0,29500.0,29400.0,30400.0,30100.0,30100.0,33800.0
Serbia,4400.0,4400.0,10400.0,10800.0,11000.0,10900.0,10500.0,10700.0,11100.0,13400.0
Malawi,600.0,600.0,800.0,800.0,900.0,800.0,900.0,800.0,900.0,1100.0
