drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Korea, South",4.0,5.0,5.0,2.2,6.1,6.1,2.7,2.0,2.8,3.3
Iraq,-3.0,1.9,5.9,7.8,5.5,0.8,10.2,8.4,4.2,-2.1
Gaza Strip,4.5,4.9,-8.0,0.8,,,,,,-15.0
Thailand,4.5,5.0,4.8,2.6,7.6,7.8,5.6,6.5,2.9,0.9
Zambia,5.0,5.8,6.0,6.0,7.0,7.6,6.5,7.2,6.0,5.6
Philippines,4.8,5.4,7.3,3.8,6.7,7.3,4.8,6.8,6.8,6.1
Uganda,4.0,5.3,6.0,8.3,5.8,5.2,4.2,2.8,5.6,4.8
Panama,6.4,8.1,11.2,9.2,5.1,7.5,8.5,10.7,7.5,6.2
Cocos (Keeling) Islands,,,,,,1.0,1.0,1.0,1.0,1.0
Belize,3.8,3.5,2.2,3.0,1.5,2.0,2.3,5.3,2.5,3.6
Lesotho,1.2,6.2,4.8,6.8,3.5,2.4,4.3,4.5,4.1,3.4
Sint Maarten,,,,,1.6,1.6,1.6,4.0,4.0,3.6
Kosovo,,,2.6,5.1,,4.0,3.8,2.3,2.5,2.7
Germany,0.9,2.8,2.5,1.3,3.3,3.5,0.9,0.9,0.5,1.6
Guinea-Bissau,2.3,2.1,2.7,3.3,1.8,3.5,-2.8,-1.5,3.5,2.5
Cook Islands,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Maldives,-3.6,18.0,6.6,5.8,3.4,8.0,3.5,0.9,3.5,6.1
Estonia,10.5,11.4,7.1,-3.6,1.9,3.1,2.4,3.9,1.5,2.9
Libya,8.4,5.8,5.8,5.9,3.3,4.2,121.9,104.5,-5.1,-24.0
Niger,7.0,3.5,3.2,9.5,3.5,7.5,14.5,11.2,6.2,6.9
Rwanda,5.2,5.8,6.0,11.2,6.0,6.5,7.7,8.0,7.5,6.9
India,8.4,9.4,9.0,7.4,8.3,10.4,5.4,3.2,3.2,7.3
Iran,6.9,4.3,6.2,6.5,3.0,1.0,-0.9,-1.9,-1.5,4.3
Burkina Faso,3.5,6.4,4.2,5.0,5.2,5.8,7.0,9.0,6.5,4.0
Hungary,4.1,3.9,1.3,0.6,0.8,1.2,-1.0,-1.7,0.2,3.6
Spain,3.5,3.9,3.8,0.9,-0.4,-0.1,-1.5,-1.6,-1.3,1.4
Serbia,5.9,5.9,7.3,5.4,1.8,1.8,-0.5,-1.7,2.0,-1.8
Albania,5.5,5.0,6.0,6.1,3.1,3.5,0.5,1.6,0.7,1.9
